Ti:,A_X:,A_Y:,A_Z:,R_X:,R_Y:,R_Z:,H:,Vin:,Temp:,Pressure:,
5878.00,6.94,6.16,5.13,-0.13,-0.13,-0.17,-1.18,7.59,22.07,1008.11,
5884.00,6.87,6.09,5.08,-0.12,-0.15,-0.17,-1.18,7.59,22.07,1008.11,
5888.00,6.90,6.08,5.06,-0.11,-0.16,-0.18,-1.18,7.59,22.07,1008.11,
5892.00,6.87,6.03,5.23,-0.10,-0.16,-0.19,-1.18,7.59,22.07,1008.11,
5896.00,6.85,6.00,5.12,-0.09,-0.16,-0.19,-1.18,7.59,22.07,1008.11,
5899.00,6.81,5.98,5.11,-0.07,-0.17,-0.20,-1.18,7.59,22.07,1008.11,
5903.00,6.82,5.92,5.09,-0.06,-0.17,-0.21,-1.18,7.59,22.07,1008.11,
5907.00,6.78,5.87,5.06,-0.04,-0.18,-0.22,-1.18,7.59,22.07,1008.11,
5910.00,6.73,5.83,5.23,-0.03,-0.19,-0.23,-1.18,7.59,22.07,1008.11,
5914.00,6.73,5.81,5.21,-0.01,-0.19,-0.23,-1.18,7.59,22.07,1008.11,
5918.00,6.72,5.78,5.19,0.01,-0.20,-0.24,-1.18,7.59,22.07,1008.11,
5921.00,6.73,5.81,5.14,0.01,-0.20,-0.25,-1.18,7.59,22.07,1008.11,
5925.00,6.69,5.79,5.06,0.02,-0.21,-0.26,-1.18,7.59,22.07,1008.11,
5928.00,6.77,5.82,5.10,0.03,-0.21,-0.27,-1.18,7.59,22.07,1008.11,
5933.00,6.80,5.81,5.03,0.04,-0.21,-0.28,-1.18,7.59,22.07,1008.11,
5938.00,7.17,5.17,4.45,0.08,-0.20,-0.30,-1.18,7.59,22.07,1008.11,
5941.00,7.27,5.45,3.14,0.06,-0.16,-0.32,-1.18,7.59,22.07,1008.11,
5945.00,7.18,5.59,4.12,-0.01,-0.15,-0.36,-1.18,7.59,22.07,1008.11,
5948.00,7.24,5.63,4.92,-0.01,-0.15,-0.37,-1.18,7.59,22.07,1008.11,
5952.00,7.12,5.68,4.20,0.03,-0.14,-0.40,-1.18,7.59,22.07,1008.11,
5955.00,7.01,5.76,3.74,0.00,-0.11,-0.41,-1.18,7.59,22.07,1008.11,
5959.00,6.72,5.77,4.25,-0.03,-0.08,-0.43,-1.18,7.59,22.07,1008.11,
5964.00,6.44,5.85,4.67,-0.03,-0.04,-0.45,-1.18,7.59,22.07,1008.11,
5967.00,6.25,5.88,4.40,-0.04,-0.02,-0.44,-1.18,7.59,22.07,1008.11,
5971.00,6.17,5.86,4.47,-0.05,-0.01,-0.44,-1.18,7.59,22.07,1008.11,
5975.00,6.02,5.82,4.70,-0.07,0.01,-0.42,-1.18,7.59,22.07,1008.11,
5979.00,5.99,5.82,4.58,-0.08,0.02,-0.41,-1.18,7.59,22.07,1008.11,
5982.00,5.84,5.86,4.44,-0.10,0.03,-0.40,-1.18,7.59,22.07,1008.11,
5986.00,5.70,5.97,4.54,-0.12,0.04,-0.38,-1.18,7.59,22.07,1008.11,
5990.00,5.66,6.03,4.77,-0.14,0.05,-0.36,-1.18,7.59,22.07,1008.11,
5994.00,5.63,6.15,5.02,-0.14,0.06,-0.33,-1.18,7.59,22.07,1008.11,
5998.00,5.69,6.16,5.20,-0.14,0.06,-0.31,-1.18,7.59,22.07,1008.11,
6001.00,5.73,6.28,5.44,-0.13,0.06,-0.29,-1.18,7.59,22.07,1008.11,
6005.00,5.77,6.35,5.35,-0.12,0.05,-0.28,-1.18,7.59,22.07,1008.11,
6009.00,5.84,6.35,5.03,-0.12,0.03,-0.26,-1.18,7.59,22.07,1008.11,
6012.00,5.76,6.33,4.86,-0.13,-0.00,-0.24,-1.18,7.59,22.07,1008.11,
6017.00,5.63,6.40,4.81,-0.14,-0.03,-0.22,-1.18,7.59,22.07,1008.11,
6020.00,5.58,6.42,4.95,-0.15,-0.06,-0.19,-1.18,7.59,22.07,1008.11,
6025.00,5.36,6.47,4.75,-0.16,-0.10,-0.15,-1.18,7.59,22.07,1008.11,
6029.00,5.33,6.47,4.77,-0.16,-0.12,-0.13,-1.18,7.59,22.07,1008.11,
6032.00,5.36,6.44,4.73,-0.17,-0.16,-0.10,-1.18,7.59,22.07,1008.11,
6036.00,5.33,6.45,4.62,-0.18,-0.19,-0.07,-1.18,7.59,22.07,1008.11,
6039.00,5.29,6.44,4.58,-0.18,-0.22,-0.05,-1.18,7.59,22.07,1008.11,
6043.00,5.27,6.33,4.60,-0.18,-0.25,-0.01,-1.18,7.59,22.07,1008.11,
6046.00,5.32,6.18,4.50,-0.18,-0.27,0.01,-1.18,7.59,22.07,1008.11,
6051.00,5.50,5.97,4.34,-0.18,-0.29,0.04,-1.18,7.59,22.07,1008.11,
6055.00,5.61,5.83,4.27,-0.19,-0.31,0.05,-1.18,7.59,22.07,1008.11,
6059.00,5.81,5.63,4.20,-0.19,-0.33,0.07,-1.18,7.59,22.07,1008.11,
6063.00,5.92,5.56,4.14,-0.20,-0.34,0.07,-1.18,7.59,22.07,1008.11,
6066.00,6.18,5.43,4.14,-0.21,-0.36,0.08,-1.18,7.59,22.07,1008.11,
6070.00,6.32,5.37,4.12,-0.22,-0.37,0.08,-1.18,7.59,22.07,1008.11,
6073.00,6.37,5.36,4.09,-0.22,-0.37,0.08,-1.18,7.59,22.07,1008.11,
6077.00,6.45,5.37,4.03,-0.22,-0.35,0.08,-1.18,7.59,22.07,1008.11,
6082.00,6.41,5.50,3.77,-0.21,-0.29,0.07,-1.18,7.59,22.07,1008.11,
6085.00,6.45,5.57,3.55,-0.21,-0.25,0.07,-1.18,7.59,22.07,1008.11,
6089.00,6.34,5.66,3.26,-0.21,-0.19,0.06,-1.18,7.59,22.07,1008.11,
6092.00,6.22,5.71,3.27,-0.23,-0.13,0.06,-1.18,7.59,22.07,1008.11,
6096.00,6.16,5.73,3.28,-0.24,-0.08,0.07,-1.18,7.59,22.07,1008.11,
6099.00,6.09,5.77,3.29,-0.25,-0.02,0.07,-1.18,7.59,22.07,1008.11,
6104.00,5.99,5.80,3.34,-0.27,0.01,0.08,-1.18,7.59,22.07,1008.11,
6109.00,5.95,5.90,3.59,-0.30,0.05,0.09,-1.18,7.59,22.07,1008.11,
6112.00,5.84,5.94,3.73,-0.32,0.07,0.11,-1.18,7.59,22.07,1008.11,
6116.00,5.67,6.02,3.97,-0.34,0.08,0.13,-1.18,7.59,22.07,1008.11,
6119.00,5.82,6.07,4.04,-0.35,0.09,0.14,-1.18,7.59,22.07,1008.11,
